Title,Effective date,No,Year,Actions,Variations to the standard definition of Environmentally  Sensitive Area
Sutherland Shire Local Environmental Plan 2015,19-09-2025,319,2015,,
Sydney Local Environmental Plan 2012,12-12-2025,628,2012,,
Sydney Local Environmental Plan (Glebe Affordable Housing Project) 2011,23-02-2024,335,2011,,
Sydney Local Environmental Plan (Green Square Town Centre) 2013,04-03-2024,541,2013,,
Sydney Local Environmental Plan (Green Square Town Centre—Stage 2) 2013,04-03-2024,525,2013,,
Sydney Local Environmental Plan (Harold Park) 2011,19-09-2025,683,2011,,
Tamworth Regional Local Environmental Plan 2010,23-01-2026,27,2011,,
Temora Local Environmental Plan 2010,19-09-2025,243,2010,,
Tenterfield Local Environmental Plan 2013,19-09-2025,152,2013,,
The Hills Local Environmental Plan 2019,27-02-2026,596,2019,,
Tumbarumba Local Environmental Plan 2010,19-09-2025,317,2010,,
Tumut Local Environmental Plan 2012,19-09-2025,637,2012,,(ja)  land identified as “Airport Development Area” on the Airport Development Area Map.
Tweed City Centre Local Environmental Plan 2012,19-09-2025,14,2013,,
Tweed Local Environmental Plan 2014,19-09-2025,177,2014,,
Upper Hunter Local Environmental Plan 2013,19-09-2025,756,2013,,
Upper Lachlan Local Environmental Plan 2010,19-09-2025,368,2010,,"(ja)  land located within Zone C2 Environmental Conservation or Zone C3 Environmental Management,"
,,,,,(jb)  land identified as a special area within the meaning of the Water NSW Act 2014.
Uralla Local Environmental Plan 2012,19-09-2025,119,2012,,
Urana Local Environmental Plan 2011,19-09-2025,508,2011,,
Wagga Wagga Local Environmental Plan 2010,19-09-2025,378,2010,,
Wakool Local Environmental Plan 2013,19-09-2025,655,2013,,
Walcha Local Environmental Plan 2012,19-09-2025,525,2012,,
Walgett Local Environmental Plan 2013,19-09-2025,373,2013,,
Warren Local Environmental Plan 2012,19-09-2025,678,2012,,
Warringah Local Environmental Plan 2011,31-10-2025,649,2011,,
Warrumbungle Local Environmental Plan 2013,19-09-2025,670,2013,,
Waverley Local Environmental Plan 2012,12-12-2025,540,2012,,
Weddin Local Environmental Plan 2011,19-09-2025,622,2011,,
Wentworth Local Environmental Plan 2011,28-11-2025,684,2011,,(ja)  land to which clause 7.6 or 7.8 apply.
Willoughby Local Environmental Plan 2012,20-03-2026,679,2012,,
Wingecarribee Local Environmental Plan 2010,16-01-2026,245,2010,,"(ja)  land identified as riparian land in paragraphs (a) or (b) of clause 7.5(5),"
,,,,,"(jb)  land that forms part of the “Regional Wildlife Habitat Corridor” mapped on the Natural Resources Sensitivity Map,"
,,,,,(jc)  land that is declared to be a special area under the Water NSW Act 2014.
Wollondilly Local Environmental Plan 2011,31-10-2025,85,2011,,
Wollongong Local Environmental Plan 2009,13-02-2026,76,2010,,"(ja)  land identified as containing an endangered ecological community under the Fisheries Management Act 1994 or the Threatened Species Conservation Act 1995,"
,,,,,(jb)    (Repealed)
,,,,,(jc)  land to which clause 7.8 (Illawarra Escarpment area conservation) applies.
Woollahra Local Environmental Plan 2014,19-09-2025,20,2015,,
Yass Valley Local Environmental Plan 2013,17-10-2025,391,2013,,
Yass Valley Local Environmental Plan (Parkwood) 2020,19-09-2025,422,2020,,
,,,,,30 out 146 LEPs additional items included in their defintion of Environmentally Sensitive Areas
